#image,n_patches,2nd_largest_patch,patch_50+_pix,n_features,mean_patch_size,largest_patch
outputs/tmp_0176_median.npy,17,601,2,1071,42.1333333333,278620
outputs/tmp_0177_median.npy,53,5,1,1709,1.27450980392,272940
outputs/tmp_0178_median.npy,20,499,2,1298,31.1666666667,278144
outputs/tmp_0179_median.npy,21,460,2,1453,28.1578947368,277913
outputs/tmp_0180_median.npy,21,379,2,1476,23.6842105263,278186
outputs/tmp_0181_median.npy,29,291,2,1765,13.1481481481,277061
outputs/tmp_0182_median.npy,21,162,3,1606,17.7368421053,277877
outputs/tmp_0183_median.npy,22,99,3,1437,12.4,278458
outputs/tmp_0184_median.npy,22,104,3,1687,11.8,278106
outputs/tmp_0185_median.npy,24,187,2,1334,11.8636363636,278890
outputs/tmp_0186_median.npy,27,184,2,1573,9.92,278197
outputs/tmp_0187_median.npy,25,196,2,1470,10.9565217391,278686
outputs/tmp_0188_median.npy,27,131,2,1631,6.8,278446
outputs/tmp_0189_median.npy,27,68,2,1540,6.0,278737
outputs/tmp_0190_median.npy,29,30,1,1718,4.66666666667,278308
outputs/tmp_0191_median.npy,29,30,1,1726,4.7037037037,277573
outputs/tmp_0192_median.npy,28,73,3,1765,8.5,277625
outputs/tmp_0193_median.npy,23,204,2,1796,13.7619047619,277821
outputs/tmp_0194_median.npy,21,256,3,1513,18.6842105263,278445
outputs/tmp_0195_median.npy,34,257,2,1825,9.28125,275470
outputs/tmp_0196_median.npy,23,189,4,1416,17.380952381,278175
outputs/tmp_0197_median.npy,24,301,2,1619,17.6363636364,277803
outputs/tmp_0198_median.npy,21,208,3,1392,20.6842105263,278078
outputs/tmp_0199_median.npy,38,214,3,1775,9.77777777778,275864
outputs/tmp_0200_median.npy,21,267,3,1464,20.4210526316,278203
outputs/tmp_0201_median.npy,26,216,2,1692,11.6666666667,278099
outputs/tmp_0202_median.npy,31,86,2,1845,5.68965517241,277063
outputs/tmp_0203_median.npy,26,122,2,1562,8.79166666667,278208
outputs/tmp_0204_median.npy,24,104,3,1661,10.8181818182,278030
outputs/tmp_0205_median.npy,31,106,2,1872,7.68965517241,276952
outputs/tmp_0206_median.npy,30,104,3,1386,8.64285714286,277829
outputs/tmp_0207_median.npy,22,172,3,1266,15.5,278670
outputs/tmp_0208_median.npy,25,189,2,1293,13.2608695652,278454
outputs/tmp_0209_median.npy,27,150,3,1303,11.96,278298
outputs/tmp_0210_median.npy,40,129,2,2272,5.55263157895,274927
outputs/tmp_0211_median.npy,27,103,2,1784,9.56,277433
outputs/tmp_0212_median.npy,34,79,2,1685,6.15625,276915
outputs/tmp_0213_median.npy,30,88,3,1753,8.25,277063
outputs/tmp_0214_median.npy,35,118,3,1687,8.15151515152,276566
outputs/tmp_0215_median.npy,25,163,3,1289,13.3043478261,278295
outputs/tmp_0216_median.npy,33,150,2,1873,8.22580645161,276358
outputs/tmp_0217_median.npy,27,107,3,1420,9.44,278332
outputs/tmp_0218_median.npy,30,75,2,1640,5.53571428571,277442
outputs/tmp_0219_median.npy,25,115,2,1581,8.21739130435,278314
outputs/tmp_0220_median.npy,29,69,2,1636,6.03703703704,278055
outputs/tmp_0221_median.npy,33,53,2,1889,4.0,276657
outputs/tmp_0222_median.npy,32,54,2,1828,5.26666666667,277277
outputs/tmp_0223_median.npy,22,56,2,1357,9.8,278767
outputs/tmp_0224_median.npy,24,141,3,1340,11.7727272727,278664
outputs/tmp_0225_median.npy,33,105,2,1963,5.61290322581,276059
outputs/tmp_0226_median.npy,24,71,2,1576,8.31818181818,278335
outputs/tmp_0227_median.npy,38,26,1,1915,2.91666666667,276080
outputs/tmp_0228_median.npy,29,98,2,1998,7.03703703704,276924
outputs/tmp_0229_median.npy,30,120,2,1782,6.67857142857,277257
outputs/tmp_0230_median.npy,45,25,1,2235,2.16279069767,274511
outputs/tmp_0231_median.npy,25,88,3,1521,10.3913043478,277936
outputs/tmp_0232_median.npy,52,13,1,1859,2.06,273981
outputs/tmp_0233_median.npy,21,133,2,1238,14.2631578947,278762
outputs/tmp_0234_median.npy,27,132,2,1777,11.44,276907
outputs/tmp_0235_median.npy,57,32,1,1680,2.32727272727,272445
outputs/tmp_0236_median.npy,29,43,1,2039,5.11111111111,276558
outputs/tmp_0237_median.npy,25,109,3,1341,10.6086956522,278307
outputs/tmp_0238_median.npy,23,130,4,1287,22.1904761905,277954
outputs/tmp_0239_median.npy,22,209,4,1172,32.4,277691
outputs/tmp_0240_median.npy,26,190,4,1205,21.0833333333,277574
outputs/tmp_0241_median.npy,29,231,3,1172,19.6666666667,277391
outputs/tmp_0242_median.npy,36,177,3,1696,10.3823529412,276015
outputs/tmp_0243_median.npy,29,125,4,1423,13.8148148148,277801
outputs/tmp_0244_median.npy,48,48,1,1960,2.91304347826,274337
outputs/tmp_0245_median.npy,45,64,2,2018,3.83720930233,274537
outputs/tmp_0246_median.npy,28,213,4,1478,14.7307692308,277468
outputs/tmp_0247_median.npy,41,204,2,2005,6.58974358974,274317
outputs/tmp_0248_median.npy,33,304,2,1914,11.8387096774,276395
outputs/tmp_0249_median.npy,23,298,3,1784,18.6666666667,277121
outputs/tmp_0250_median.npy,23,320,2,1455,19.380952381,278201
outputs/tmp_0251_median.npy,30,135,3,1661,9.10714285714,277504
outputs/tmp_0252_median.npy,26,142,2,1669,10.0,277856
outputs/tmp_0253_median.npy,29,78,2,1419,7.51851851852,278400
outputs/tmp_0254_median.npy,26,52,2,1828,6.58333333333,277420
outputs/tmp_0255_median.npy,40,27,1,1962,2.36842105263,275520
outputs/tmp_0256_median.npy,28,30,1,1585,5.73076923077,277712
outputs/tmp_0257_median.npy,25,211,2,1403,14.6956521739,278327
outputs/tmp_0258_median.npy,25,51,2,1362,8.73913043478,278456
outputs/tmp_0259_median.npy,34,40,1,1693,3.65625,276909
outputs/tmp_0260_median.npy,24,217,4,1646,19.0454545455,277406
outputs/tmp_0261_median.npy,34,207,3,1858,10.96875,276330
outputs/tmp_0262_median.npy,26,131,3,1131,13.7916666667,278577
outputs/tmp_0263_median.npy,30,96,3,1804,10.0357142857,276976
outputs/tmp_0264_median.npy,25,72,3,1065,11.4347826087,278623
outputs/tmp_0265_median.npy,27,34,1,1692,6.84,277785
outputs/tmp_0266_median.npy,26,41,1,1735,6.91666666667,277823
outputs/tmp_0267_median.npy,32,38,1,1866,3.76666666667,276814
outputs/tmp_0268_median.npy,44,9,1,2177,1.66666666667,273814
outputs/tmp_0269_median.npy,49,4,1,2056,1.25531914894,273743
outputs/tmp_0270_median.npy,31,69,2,2050,5.8275862069,276284
outputs/tmp_0271_median.npy,24,107,2,2022,10.7272727273,276874
outputs/tmp_0272_median.npy,32,54,2,2075,5.5,276324
outputs/tmp_0273_median.npy,43,70,2,2337,4.19512195122,275090
outputs/tmp_0274_median.npy,29,219,2,2023,12.1851851852,276769
outputs/tmp_0275_median.npy,51,10,1,1840,1.55102040816,274644
outputs/tmp_0276_median.npy,28,58,2,2150,6.03846153846,276368
outputs/tmp_0277_median.npy,48,17,1,2104,1.78260869565,274115
outputs/tmp_0278_median.npy,38,56,2,1961,2.86111111111,275756
outputs/tmp_0279_median.npy,31,114,2,1936,5.75862068966,277128
outputs/tmp_0280_median.npy,28,56,2,1759,5.03846153846,277961
outputs/tmp_0281_median.npy,28,62,2,2076,4.69230769231,276402
outputs/tmp_0282_median.npy,24,71,3,1928,8.5,277383
outputs/tmp_0283_median.npy,34,18,1,2287,1.8125,275504
outputs/tmp_0284_median.npy,28,31,1,1781,4.53846153846,277695
outputs/tmp_0285_median.npy,28,22,1,1880,3.92307692308,277711
outputs/tmp_0286_median.npy,26,32,1,2225,3.0,277168
outputs/tmp_0287_median.npy,22,18,1,2232,2.65,277140
outputs/tmp_0288_median.npy,34,5,1,2032,1.21875,276501
outputs/tmp_0289_median.npy,54,23,1,1728,2.34615384615,273141
outputs/tmp_0290_median.npy,58,28,1,1427,1.82142857143,272376
outputs/tmp_0291_median.npy,27,5,1,2135,1.56,276983
outputs/tmp_0292_median.npy,58,15,1,1514,1.625,272502
outputs/tmp_0293_median.npy,40,43,1,2138,2.89473684211,275154
outputs/tmp_0294_median.npy,29,81,3,2267,6.22222222222,276220
outputs/tmp_0295_median.npy,23,120,2,1904,9.38095238095,277703
outputs/tmp_0296_median.npy,32,25,1,1864,2.83333333333,276509
outputs/tmp_0297_median.npy,37,7,1,2039,1.57142857143,275391
outputs/tmp_0298_median.npy,39,9,1,2101,1.62162162162,275394
outputs/tmp_0299_median.npy,35,48,1,1876,3.72727272727,276489
outputs/tmp_0300_median.npy,30,80,2,1843,6.42857142857,276844
outputs/tmp_0301_median.npy,26,135,2,1740,9.20833333333,277545
outputs/tmp_0302_median.npy,50,27,1,1869,1.77083333333,274434
outputs/tmp_0303_median.npy,31,137,4,1819,11.6896551724,276154
outputs/tmp_0304_median.npy,37,203,3,1647,11.8,276140
outputs/tmp_0305_median.npy,28,189,4,1162,16.5,278085
outputs/tmp_0306_median.npy,28,240,4,1173,18.0769230769,278071
outputs/tmp_0307_median.npy,24,378,3,1414,25.5909090909,277526
outputs/tmp_0308_median.npy,28,457,3,1313,25.0769230769,277236
outputs/tmp_0309_median.npy,27,551,3,1302,29.72,277283
outputs/tmp_0310_median.npy,28,493,3,1075,29.4615384615,277561
outputs/tmp_0311_median.npy,28,483,3,1178,27.8461538462,277344
outputs/tmp_0312_median.npy,30,409,3,1259,24.9642857143,277036
outputs/tmp_0313_median.npy,28,325,3,1145,26.7307692308,277197
outputs/tmp_0314_median.npy,35,330,4,1816,18.7878787879,275325
outputs/tmp_0315_median.npy,26,324,3,991,28.3333333333,277631
outputs/tmp_0316_median.npy,30,258,4,1335,21.4285714286,276818
outputs/tmp_0317_median.npy,38,199,3,1828,12.3888888889,274652
outputs/tmp_0318_median.npy,33,154,4,1827,15.2903225806,276061
outputs/tmp_0319_median.npy,32,256,3,1530,13.6333333333,276670
outputs/tmp_0320_median.npy,29,124,4,1387,14.5925925926,277254
outputs/tmp_0321_median.npy,26,175,3,908,15.7916666667,278075
outputs/tmp_0322_median.npy,30,124,3,1020,12.2857142857,277870
outputs/tmp_0323_median.npy,30,94,3,1001,11.0714285714,278101
outputs/tmp_0324_median.npy,32,103,2,1139,9.36666666667,277925
outputs/tmp_0325_median.npy,33,57,2,971,7.16129032258,278278
outputs/tmp_0326_median.npy,32,51,2,1019,6.5,278570
outputs/tmp_0327_median.npy,31,42,1,1369,5.37931034483,278203
outputs/tmp_0328_median.npy,27,29,1,1398,5.36,278346
outputs/tmp_0329_median.npy,35,35,1,1667,3.84848484848,277209
outputs/tmp_0330_median.npy,33,17,1,1477,3.38709677419,278296
outputs/tmp_0331_median.npy,32,29,1,1869,4.3,277397
outputs/tmp_0332_median.npy,33,67,2,2080,4.51612903226,276585
outputs/tmp_0333_median.npy,30,44,1,1721,5.28571428571,277851
outputs/tmp_0334_median.npy,28,66,2,1884,4.92307692308,277730
outputs/tmp_0335_median.npy,25,54,2,1830,6.30434782609,277944
outputs/tmp_0336_median.npy,23,125,2,1793,8.38095238095,278229
outputs/tmp_0337_median.npy,30,101,2,2018,5.39285714286,277120
outputs/tmp_0338_median.npy,27,76,2,1811,5.76,277940
outputs/tmp_0339_median.npy,25,102,3,1751,10.0869565217,277970
outputs/tmp_0340_median.npy,24,111,3,1853,9.63636363636,277852
outputs/tmp_0341_median.npy,24,117,2,1922,7.68181818182,277707
outputs/tmp_0342_median.npy,24,82,2,1910,5.40909090909,278103
outputs/tmp_0343_median.npy,28,72,2,1745,5.11538461538,278240
