image,n_patches,largest_patch,patch_50+_pix,n_features,mean_patch_size,std_patch_size,mean_displ_X,mean_displ_Y,std_displ_X,std_displ_Y
outputs/tmp_0397_median.npy,19,129.0,3,649,2.2080123266563945,7.7561962243369118,0.41898148148148145,0.59567901234567966,0.9948440103203926,308.39368959836526
outputs/tmp_0398_median.npy,22,102.0,2,840,2.1714285714285713,5.040232690881572,0.32419547079856975,0.94874851013110861,0.83267757626054428,308.07700117263357
outputs/tmp_0399_median.npy,24,112.0,1,910,2.6472527472527472,4.9246819646148063,0.29592959295929594,-0.074807480748074376,1.0767512090803806,258.55380467475447
outputs/tmp_0400_median.npy,22,164.0,3,925,2.3124324324324323,6.8229110872774879,0.29220779220779219,-0.08170995670995615,0.89676586259583291,270.91071273915099
outputs/tmp_0401_median.npy,20,272.0,4,650,2.6246153846153848,12.265549387416284,0.41910631741140214,0.27580893682588614,0.99228939214681811,279.24359883162197
outputs/tmp_0402_median.npy,22,290.0,4,569,2.86115992970123,14.186557143136492,0.48063380281690143,1.4031690140845066,1.1346045166859657,307.68902014292701
outputs/tmp_0403_median.npy,18,281.0,3,712,2.446629213483146,11.366962026700447,0.37412095639943743,-0.097046413502109227,0.97182179046944561,292.65912751070147
outputs/tmp_0404_median.npy,17,137.0,2,643,2.1835147744945567,7.1315505215038257,0.42359813084112147,0.33676012461059179,1.0533631932279692,321.66875294852127
outputs/tmp_0405_median.npy,21,76.0,1,954,2.1404612159329139,3.8696228935960342,0.28751311647429173,0.32791185729276018,0.8196743013286315,294.62870073754772
outputs/tmp_0406_median.npy,14,47.0,0,1064,1.8355263157894737,2.4229124619308187,0.25305738476011291,-0.39322671683913452,0.84977052508870954,297.05594563606638
outputs/tmp_0407_median.npy,21,56.0,2,663,2.143288084464555,4.2676989522307682,0.41389728096676737,0.88670694864048216,0.92324803015979673,309.48297506517804
outputs/tmp_0408_median.npy,24,100.0,2,954,2.1708595387840672,5.1026311598875678,0.28646379853095488,-0.16054564533053514,1.3508807304756216,296.1872485130956
outputs/tmp_0409_median.npy,27,36.0,0,1062,2.6920903954802258,3.8129911692281806,0.25636192271442038,0.072573044297832234,1.0084881974722897,273.4360024500408
outputs/tmp_0410_median.npy,20,99.0,4,709,2.1523272214386462,6.2208472318653518,0.38700564971751411,0.067090395480226148,1.0070421184716938,293.97470055012843
outputs/tmp_0411_median.npy,21,172.0,2,636,2.4119496855345912,9.7267760162565917,0.43149606299212601,1.4078740157480307,1.1799792882395792,281.39961316190534
outputs/tmp_0412_median.npy,24,112.0,2,977,2.4698055271238486,5.2340667479167724,0.2798594847775176,0.51844262295081955,1.0309619376907173,267.9388147116909
outputs/tmp_0413_median.npy,29,62.0,1,1136,2.7764084507042255,4.036061886477694,0.23524229074889869,0.45330396475770995,1.1018015442127869,256.46811747676554
outputs/tmp_0414_median.npy,15,224.0,2,681,2.1762114537444934,9.12137560032577,0.40294117647058825,0.59264705882352997,1.1262842068965231,276.53690425272663
outputs/tmp_0415_median.npy,19,245.0,1,636,2.1305031446540879,9.9050657453548201,0.43149606299212601,0.83622047244094422,1.1385247856325453,316.15186209057453
outputs/tmp_0416_median.npy,19,277.0,2,709,2.7122708039492243,11.668149070949427,0.38418079096045199,1.1009887005649726,1.1383792592686142,323.34858011511682
outputs/tmp_0417_median.npy,22,218.0,3,539,3.0296846011131726,14.133443347792959,0.50929368029739774,0.88847583643122807,1.5143520651704852,322.21684414107648
outputs/tmp_0418_median.npy,20,1778.0,4,397,7.327455919395466,89.572275402222985,0.69191919191919193,1.1085858585858581,2.6268844253699739,255.69811100805506
outputs/tmp_0419_median.npy,15,2042.0,4,110,23.418181818181818,193.86027685461704,2.5137614678899083,-2.3302752293577993,6.6297838781761005,241.25296549299452
outputs/tmp_0420_median.npy,22,1938.0,8,208,19.346153846153847,149.02550564034652,1.0893719806763285,1.0628019323671487,4.4960322114896503,285.37739265045713
outputs/tmp_0421_median.npy,21,1612.0,7,71,59.577464788732392,239.40817063797255,3.138095238095238,-0.87619047619047841,19.480674753858683,134.42037453665949
outputs/tmp_0422_median.npy,30,1482.0,10,80,46.087499999999999,178.72829894493486,1.0632911392405062,4.7341772151898756,5.7969600786922673,285.95647628048158
outputs/tmp_0423_median.npy,21,1294.0,8,44,105.20454545454545,285.63084722842825,1.2187017001545595,2.0508428884655499,6.9770992569834656,332.07988962795173
outputs/tmp_0424_median.npy,25,2219.0,6,68,50.867647058823529,269.50067687417805,0.92643923240938142,4.549040511727088,6.6811940477358558,348.15256326643731
outputs/tmp_0425_median.npy,23,2278.0,3,75,43.719999999999999,265.80426683307144,0.93243243243243246,2.5945945945945947,5.1047090246500009,317.53562075969722
outputs/tmp_0426_median.npy,29,2916.0,8,88,56.670454545454547,319.73318854059994,0.61719140429785091,0.50963089883629409,5.162639107092823,275.2239891787159
outputs/tmp_0427_median.npy,26,1460.0,9,78,74.57692307692308,248.55281228160879,0.75963892050326642,6.5054177515161911,6.7732390468185599,329.81430002953596
outputs/tmp_0428_median.npy,27,2227.0,7,69,68.681159420289859,293.75448156944606,0.43417021051797466,-3.0801163527826949,7.2554406227972157,146.09224643346647
outputs/tmp_0429_median.npy,25,2609.0,12,58,79.15517241379311,348.48053434600007,0.5155766102791578,-4.643439600662572,4.24501692063573,203.54880229957732
outputs/tmp_0430_median.npy,20,2877.0,4,54,69.074074074074076,389.10751879101269,1.1843910806174953,3.4493996569468219,5.9788636240581567,363.76690387860015
outputs/tmp_0431_median.npy,35,1393.0,9,115,29.88695652173913,137.58107587369466,1.6140350877192982,1.1578947368420993,6.8779660708472923,303.38479580416163
outputs/tmp_0432_median.npy,25,1553.0,7,60,49.766666666666666,208.440988185039,2.9753466872110943,4.9622496147919897,11.901065751353904,289.34245802820436
outputs/tmp_0433_median.npy,30,1574.0,11,54,66.31481481481481,220.41491379887552,1.1194968553459121,2.6006289308176043,6.6882863306478075,448.57518799738068
outputs/tmp_0434_median.npy,38,642.0,13,157,19.0,65.359271682787735,1.1794871794871795,-1.1410256410256392,5.7570273145113342,352.35925428070857
outputs/tmp_0435_median.npy,35,1189.0,10,119,31.058823529411764,128.01446176954121,1.369491525423729,3.9593220338983035,10.562645238680531,301.75632161482645
outputs/tmp_0436_median.npy,32,1154.0,13,67,57.134328358208954,171.07708793287802,1.2425084175084171,-2.689814814814814,5.8045864421967295,366.88890137376302
outputs/tmp_0437_median.npy,25,962.0,12,53,72.018867924528308,179.29405493369674,1.3461538461538467,-5.1730769230769242,6.2251292058612631,309.53960840255468
outputs/tmp_0438_median.npy,29,1510.0,9,57,71.736842105263165,215.51729090202252,1.1525149795017349,-4.1588024282560649,7.630286742351335,292.26914703682002
outputs/tmp_0439_median.npy,33,643.0,12,95,40.347368421052629,116.26075668817218,2.2355929407883885,-2.5102342074880437,12.561880667393943,277.30182492250299
outputs/tmp_0440_median.npy,21,1870.0,7,70,44.042857142857144,225.87679547641429,2.9927536231884058,4.550724637681161,13.531105805653514,272.72059617488662
outputs/tmp_0441_median.npy,31,1423.0,9,115,26.634782608695652,135.95148306175946,1.8782372598162069,-2.8333333333333313,9.450625122965322,263.28324251749916
outputs/tmp_0442_median.npy,34,1290.0,10,88,50.454545454545453,185.02296596337519,2.1810344827586206,-5.3000000000000016,12.906059188472893,265.44961506751355
outputs/tmp_0443_median.npy,36,795.0,11,109,37.366972477064223,121.5323161274859,1.9833333333333332,1.5685185185185193,7.1373659818321586,239.98102743232607
outputs/tmp_0444_median.npy,18,1958.0,7,25,141.91999999999999,390.62052378235325,4.3194444444444455,-12.4375,10.062771847359402,164.40489533992718
outputs/tmp_0445_median.npy,18,1795.0,5,49,82.020408163265301,307.09026059928283,3.9035027472527477,2.3897664835164818,6.9740591879302292,231.22180544146238
outputs/tmp_0446_median.npy,27,1722.0,10,127,24.968503937007874,154.48216455461232,1.4474948709642588,4.8065273728539051,5.868680228394151,207.90058652960732
outputs/tmp_0447_median.npy,26,1193.0,10,81,33.444444444444443,137.32874857503504,2.703333333333334,-7.6308333333333334,8.4235210164333036,183.91106129389669
outputs/tmp_0448_median.npy,31,711.0,12,153,23.019607843137255,82.56385689395627,1.4605263157894737,0.1644736842105278,5.7949103287305475,309.00753985063312
outputs/tmp_0449_median.npy,30,875.0,11,179,19.268156424581004,84.673910438172953,1.5168539325842696,4.6179775280898872,4.4559950517162887,314.11029151266456
outputs/tmp_0450_median.npy,30,1140.0,8,245,15.159183673469387,85.413968934416857,0.8581967213114754,-0.55901639344261955,4.9608671432793825,281.25598691790708
outputs/tmp_0451_median.npy,40,676.0,12,216,17.578703703703702,72.294557644308767,0.84098665198844091,1.9889018852346236,4.4803243108154343,231.11259424222024
outputs/tmp_0452_median.npy,20,1437.0,8,73,48.547945205479451,199.20520438653688,3.4166666666666665,8.6805555555555554,9.545665646206162,180.54286339412656
outputs/tmp_0453_median.npy,37,426.0,13,314,9.6433121019108281,38.343986605140621,0.86900958466453671,1.4696485623003208,3.2708062219103287,262.78387410206199
outputs/tmp_0454_median.npy,22,595.0,6,157,14.751592356687897,67.989382465482421,1.7004662004662003,3.0833916083916089,3.3952559053918887,237.72299728236297
outputs/tmp_0455_median.npy,31,477.0,11,208,11.60576923076923,48.432728577741798,1.2287017866728012,-0.31891726094625111,4.0455432760892363,308.87188106601542
outputs/tmp_0456_median.npy,23,3298.0,5,79,50.835443037974684,368.32014934656661,3.4928774928774922,-0.43732193732193408,11.641514833579079,242.05081774751827
outputs/tmp_0457_median.npy,23,1721.0,7,95,42.031578947368423,206.49610434105833,2.7066193853427896,-0.52765957446808898,10.391613075212549,273.32685986071647
outputs/tmp_0458_median.npy,30,639.0,13,134,26.708955223880597,94.004590601376066,1.917514374170721,5.0986289252543111,7.3931454100164444,238.69784083294573
outputs/tmp_0459_median.npy,37,894.0,8,113,37.69911504424779,145.42789381718285,1.65625,-1.4642857142857173,7.3258197326858223,258.46317839005889
outputs/tmp_0460_median.npy,38,956.0,13,100,46.640000000000001,147.59041432288211,1.3865121806298275,-1.9869281045751679,8.1163571589415699,311.58280901408585
outputs/tmp_0461_median.npy,37,787.0,13,107,41.355140186915889,132.32947074903109,1.6397624039133472,2.6056953179594666,8.8985438214526305,312.44745912556539
outputs/tmp_0462_median.npy,28,1731.0,8,74,52.972972972972975,220.05582663748621,2.2219178082191777,-3.4876712328767088,11.055927916669267,322.83747383026576
outputs/tmp_0463_median.npy,30,1700.0,9,73,55.602739726027394,222.52897239267011,2.3950400208392537,3.3853367433930095,11.161693890938592,232.15537108759358
outputs/tmp_0464_median.npy,23,851.0,6,50,66.319999999999993,189.92360990672015,4.0439625850340146,6.5083333333333444,13.888296690770458,334.21122114234373
outputs/tmp_0465_median.npy,30,1548.0,7,54,71.462962962962962,243.39449101795114,3.9874213836477983,-1.4669811320754673,18.606665846668232,347.81379165275695
outputs/tmp_0466_median.npy,36,695.0,16,97,37.494845360824741,105.61612299903469,2.6666666666666665,4.6822916666666652,10.960074361277885,262.4010306557945
outputs/tmp_0467_median.npy,40,795.0,15,80,39.875,102.57270287459524,2.5539836187639615,3.1034996276991849,9.0339954125659876,290.68368062067947
outputs/tmp_0468_median.npy,38,749.0,12,166,17.08433734939759,65.307189740409228,1.6545454545454545,2.745454545454546,4.5297000364339288,267.61014044056856
outputs/tmp_0469_median.npy,37,617.0,14,151,19.039735099337747,62.486754177281007,1.2312820512820513,1.6711965811965828,3.7879257575194618,210.24550311153908
outputs/tmp_0470_median.npy,39,296.0,17,193,13.217616580310882,33.126141400112438,1.1572916666666666,-0.37604166666666572,3.37005333665422,267.59493263859088
outputs/tmp_0471_median.npy,35,357.0,12,141,17.560283687943262,47.290766314820125,1.5185064935064934,0.35032467532467665,3.3262320271458261,320.80495445722795
outputs/tmp_0472_median.npy,30,1077.0,11,105,29.104761904761904,115.18448339693802,1.5929487179487181,-1.5256410256410198,4.9680914038627373,305.08875743850018
outputs/tmp_0473_median.npy,26,1096.0,7,100,29.91,132.88085603276343,2.1010101010101012,-2.3989898989899001,5.0758777041104812,234.38215375661696
outputs/tmp_0474_median.npy,40,264.0,14,226,13.097345132743364,36.377194207888067,1.0044444444444445,-0.37333333333333457,3.9653685594050518,242.22919744359848
outputs/tmp_0475_median.npy,36,305.0,12,217,13.2073732718894,41.442184934902265,0.95447530864197527,1.8317901234567895,4.2635447594212099,406.51064221735771
outputs/tmp_0476_median.npy,32,908.0,15,114,31.771929824561404,113.20746636214163,1.5722713864306783,4.6342182890855383,6.4377637023865653,426.81436019953071
outputs/tmp_0477_median.npy,34,614.0,12,80,45.237499999999997,110.54334486413011,2.130801687763713,-6.7299578059071754,8.1481488904898853,325.5645824847532
outputs/tmp_0478_median.npy,35,1261.0,7,160,18.762499999999999,103.6924230296023,1.2358490566037736,1.5974842767295612,5.7428299366216811,269.04430219442844
outputs/tmp_0479_median.npy,36,783.0,12,152,17.730263157894736,70.764432263778957,1.0397350993377483,-1.1059602649006626,3.7838088754888748,234.87317492613278
outputs/tmp_0480_median.npy,36,1153.0,13,201,22.049751243781095,108.73825212436742,0.96105442176870748,-1.7612585034013615,4.67890180402045,318.95781492059598
outputs/tmp_0481_median.npy,27,1361.0,11,144,29.236111111111111,132.75740124330747,0.90442890442890433,-2.4794094794094801,6.4347799311576246,241.30334169293164
outputs/tmp_0482_median.npy,37,488.0,14,171,19.649122807017545,63.17722900944932,1.218158567774936,-1.741176470588234,5.3762051810656963,339.44882593328242
outputs/tmp_0483_median.npy,29,2311.0,7,119,36.747899159663866,221.31468217451504,1.0780367231638417,-1.9480932203389774,6.4682914608254078,298.32598810290966
outputs/tmp_0484_median.npy,43,513.0,12,223,13.627802690582959,48.610011500119882,0.9211711711711712,-0.68243243243243523,5.0063023965773468,323.68363080438615
outputs/tmp_0485_median.npy,31,1014.0,10,145,24.131034482758622,111.27761215938884,1.3958333333333333,-2.8437500000000018,6.1685595020723962,330.574143295108
outputs/tmp_0486_median.npy,38,469.0,15,193,17.1139896373057,59.699658144150135,1.0104166666666667,1.8789062499999989,4.1761893573612516,276.4284812795043
outputs/tmp_0487_median.npy,30,1580.0,8,278,13.982014388489208,100.42232601075254,0.7723273406744916,0.072882462855793265,3.2686949296685821,313.61864434691029
outputs/tmp_0488_median.npy,36,349.0,14,432,7.395833333333333,30.626003857319006,0.52389791183294665,-1.3888631090487238,3.0863770429781461,354.02498162871404
